BirdtreeFormat,Family,O.C,Final.polygyny,Final.EPP,Syllable.rep.final,Syll.song.final,Song.rep.final,Duration.final,Interval.final,Song.rate,Continuity,EPPSourcedata
Passer_montanus,Passeridae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.015256588,NA
Aimophila_aestivalis,Passerellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.052132701,NA
Xanthocephalus_xanthocephalus,Icteridae,NA,1,NA,NA,NA,NA,NA,NA,NA,0.056410256,NA
Phylloscopus_bonelli,Phylloscopidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.08045977,NA
Agelaius_phoeniceus,Icteridae,NA,1,1,NA,NA,NA,NA,NA,NA,0.081967213,NA
Turdus_iliacus,Turdidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.095846645,NA
Dendroica_magnolia,Parulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.101402373,NA
Cettia_cetti,Scotocercidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.102564103,NA
Vireo_flavoviridis,Vireonidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116438356,NA
Icterus_galbula,Icteridae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.11676397,NA
Dendroica_coronata,Parulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.118650794,NA
Pipilo_fuscus,Passerellidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120351859,NA
Vireo_flavifrons,Vireonidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.125,NA
Miliaria_calandra,Emberizidae,NA,1,0,NA,NA,NA,NA,NA,NA,0.128102482,NA
Vireo_solitarius,Vireonidae,NA,0,0,NA,NA,NA,NA,NA,NA,0.128787879,NA
Vireo_vicinior,Vireonidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13125,NA
Ficedula_albicollis,Muscicapidae,NA,1,1,NA,NA,NA,NA,NA,NA,0.135135135,NA
Wilsonia_citrina,Parulidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.141025641,NA
Emberiza_hortulana,Emberizidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.142857143,NA
Dendroica_tigrina,Parulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146376812,NA
Setophaga_ruticilla,Parulidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.147011309,NA
Zonotrichia_leucophrys,Passerellidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.147286822,NA
Progne_subis,Hirundinidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.15,NA
Vireo_philadelphicus,Vireonidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.150943396,NA
Oporornis_philadelphia,Parulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151876117,NA
Dendroica_petechia,Parulidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.152380952,NA
Dendroica_pensylvanica,Parulidae,NA,NA,1,NA,NA,NA,NA,NA,NA,0.152885187,NA
Dendroica_virens,Parulidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.153689567,NA
Vireo_huttoni,Vireonidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.158469945,NA
Pipilo_erythrophthalmus,Passerellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.159003831,NA
Sylvia_curruca,Sylviidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.162790698,NA
Dendroica_castanea,Parulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.163879599,NA
Thryothorus_felix,Troglodytidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.164383562,NA
Synallaxis_brachyura,Furnariidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.166666667,NA
Oenanthe_oenanthe,Muscicapidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.172413793,NA
Sturnella_neglecta,Icteridae,NA,1,NA,NA,NA,NA,NA,NA,NA,0.17948718,NA
Ammodramus_maritimus,Passerellidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.185185185,NA
Seiurus_noveboracensis,Parulidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.19,NA
Sayornis_phoebe,Tyrannidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.190476191,NA
Passerina_amoena,Cardinalidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.1966759,NA
Vireo_olivaceus,Vireonidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.199063232,NA
Emberiza_cia,Emberizidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA
Fringilla_coelebs,Fringillidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.206084397,NA
Cardinalis_cardinalis,Cardinalidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.206896552,NA
Passerina_ciris,Cardinalidae,NA,1,NA,NA,NA,NA,NA,NA,NA,0.209651475,NA
Passerina_cyanea,Cardinalidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.214611872,NA
Spizella_pallida,Passerellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.21875,NA
Empidonax_difficilis,Tyrannidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.222222222,NA
Piranga_olivacea,Cardinalidae,NA,NA,1,NA,NA,NA,NA,NA,NA,0.224489796,NA
Catharus_guttatus,Turdidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22927181,NA
Parula_americana,Parulidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.2297593,NA
Junco_phaeonotus,Passerellidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.229901269,NA
Emberiza_citrinella,Emberizidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.230515917,NA
Wilsonia_pusilla,Parulidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.230769231,NA
Junco_hyemalis,Passerellidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.237288136,NA
Pycnonotus_barbatus,Pycnonotidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.237288136,NA
Zonotrichia_albicollis,Passerellidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.238471126,NA
Mniotilta_varia,Parulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.242607121,NA
Vireo_altiloquus,Vireonidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245192308,NA
Catharus_fuscescens,Turdidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.245824983,NA
Thryothorus_sinaloa,Troglodytidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.246445498,NA
Ficedula_hypoleuca,Muscicapidae,NA,1,1,NA,NA,NA,NA,NA,NA,0.246609125,NA
Vermivora_ruficapilla,Parulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.247119078,NA
Catharus_minimus,Turdidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.249708285,NA
Vireo_griseus,Vireonidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.25,NA
Geothlypis_trichas,Parulidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.252010724,NA
Baeolophus_atricristatus,Paridae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.252988048,NA
Dendroica_fusca,Parulidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.254684838,NA
Melospiza_melodia,Passerellidae,NA,0,0,NA,NA,NA,NA,NA,NA,0.255734505,NA
Pheucticus_ludovicianus,Cardinalidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.26056338,NA
Passerculus_sandwichensis,Passerellidae,NA,1,1,NA,NA,NA,NA,NA,NA,0.263157895,NA
Wilsonia_canadensis,Parulidae,NA,NA,1,NA,NA,NA,NA,NA,NA,0.264499121,NA
Regulus_ignicapilla,Regulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266666667,NA
Campylorhynchus_brunneicapillus,Troglodytidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.271028037,NA
Thryomanes_bewickii,Troglodytidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.277027027,NA
Spizella_passerina,Passerellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.277659575,NA
Carpodacus_mexicanus,Fringillidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.279411765,NA
