BirdtreeFormat,Family,Final.polygyny,Final.EPP,Syllable.rep.min,Syllable.rep.final,Syllable.rep.max,Syll.song.min,Syll.song.final,Syll.song.max,Song.rep.min,Song.rep.final,Song.rep.max,Duration.min,Duration.final,Duration.max,Interval.min,Interval.final,Interval.max,Song.rate.min,Song.rate,Song.rate.max,Continuity.min,Continuity,Continuity.max
Acanthornis_magna,Acanthizidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acridotheres_cristatellus,Sturnidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acridotheres_fuscus,Sturnidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acridotheres_ginginianus,Sturnidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acridotheres_tristis,Sturnidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_aequinoctialis,Acrocephalidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_arundinaceus,Acrocephalidae,1,1,15,22.5,30,5,5,5,100,500,1000,3.2,7.35,11.5,1.5,1.75,2,12.76595745,6.593406593,4.444444444,0.680851064,0.807692308,0.851851852
Acrocephalus_baeticatus,Acrocephalidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_bistrigiceps,Acrocephalidae,1,0,55,55,55,10,10,10,300,400,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_dumetorum,Acrocephalidae,NA,NA,NA,NA,NA,3.48,3.48,3.48,55.3,55.3,55.3,0.75,0.75,0.75,0.25,0.25,0.25,60,60,60,0.75,0.75,0.75
Acrocephalus_familiaris,Acrocephalidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_luscinius,Acrocephalidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_melanopogon,Acrocephalidae,0,NA,70,102,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_orinus,Acrocephalidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_paludicola,Acrocephalidae,NA,1,15,15,15,20,20,20,100,100,100,2.18,2.18,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_palustris,Acrocephalidae,1,0,90,241,411,90,90,90,100,100,100,5,5,5,0.01,0.25,0.8,11.9760479,11.42857143,10.34482759,0.998003992,0.952380952,0.862068966
Acrocephalus_schoenobaenus,Acrocephalidae,1,0,45,55,68,5,6.35,7.7,100,100,100,19.5,19.5,19.5,1.31,1.31,1.31,2.883229217,2.883229217,2.883229217,0.937049495,0.937049495,0.937049495
Acrocephalus_scirpaceus,Acrocephalidae,0,NA,80,80,80,80,80,80,100,500,1000,20,260,500,0.01,0.25,0.8,2.99850075,0.23054755,0.119808307,0.99950025,0.999039385,0.998402556
Acrocephalus_sechellensis,Acrocephalidae,0,1,32,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus_stentoreus,Acrocephalidae,0,NA,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agelaioides_badius,Icteridae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agelaius_assimilis,Icteridae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agelaius_humeralis,Icteridae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agelaius_phoeniceus,Icteridae,1,1,18.5,18.5,18.5,3,3,3,4,5,6,1.25,1.25,1.25,14,14,14,3.93442623,3.93442623,3.93442623,0.081967213,0.081967213,0.081967213
Agelaius_tricolor,Icteridae,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,1.25,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agelaius_xanthomus,Icteridae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agelasticus_thilius,Icteridae,0,NA,17.9,17.9,17.9,NA,NA,NA,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ailuroedus_crassirostris,Ptilonorhynchidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ailuroedus_melanotis,Ptilonorhynchidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
